date,weather_label,temp_max_c,precipitation_mm,total_trips,avg_fare,avg_distance,total_revenue
2026-01-01,snowy,0.6000000000000001,1.1,63989,20.66,3.84,1951660.22
2026-01-02,snowy,-1.2,0.30000000000000004,72921,20.78,4.37,2225402.39
2026-01-03,cloudy,-0.6000000000000001,0.0,76814,20.29,3.72,2260575.15
2026-01-04,snowy,1.0,0.30000000000000004,64539,22.12,4.38,2047426.46
2026-01-05,snowy,0.9,0.8,74124,21.25,4.14,2289840.31
2026-01-06,snowy,4.0,0.6000000000000001,82844,19.59,3.65,2400729.95
2026-01-07,rainy,9.4,0.30000000000000004,86569,19.12,3.44,2468432.22
2026-01-08,clear,10.1,0.0,91676,19.48,3.45,2660753.94
2026-01-09,rainy,10.9,3.6,92104,19.12,3.44,2637035.12
2026-01-10,rainy,9.2,13.5,95616,17.81,3.07,2543458.23
2026-01-11,rainy,8.3,0.30000000000000004,77981,19.5,3.7,2250895.71
2026-01-12,cloudy,4.8,0.0,84830,19.39,3.55,2461742.94
2026-01-13,cloudy,7.4,0.0,92647,19.04,3.34,2653115.9
2026-01-14,rainy,9.9,0.1,98058,18.83,3.33,2789390.11
2026-01-15,rainy,6.6,0.1,104343,18.86,3.39,2971763.99
2026-01-16,cloudy,0.1,0.0,94898,19.12,3.4,2721654.72
2026-01-17,snowy,2.0,4.7,82782,17.42,3.08,2157051.7
2026-01-18,snowy,0.5,9.2,71992,18.24,4.8,1952082.58
2026-01-19,cloudy,-1.2,0.0,68671,20.63,3.98,2129557.83
2026-01-20,clear,-4.6,0.0,94062,19.31,3.39,2721820.5
2026-01-21,cloudy,1.2,0.0,95421,18.59,3.19,2671675.92
2026-01-22,snowy,6.8,0.2,100524,18.8,3.21,2845138.14
2026-01-23,cloudy,2.2,0.0,100779,18.23,3.14,2773390.32
2026-01-24,cloudy,-7.4,0.0,88150,17.05,2.95,2253481.34
2026-01-25,snowy,-4.8,33.1,17844,16.58,2.83,449838.24
2026-01-26,snowy,-3.2,0.4,39414,20.17,3.86,1210017.74
2026-01-27,snowy,-7.3,0.1,77289,22.2,3.5,2514409.02
2026-01-28,cloudy,-6.8,0.0,87382,21.7,3.38,2768923.63
2026-01-29,clear,-8.1,0.0,94259,21.33,3.27,2944940.28
2026-01-30,clear,-9.3,0.0,93209,20.27,3.17,2799216.29
2026-01-31,cloudy,-7.2,0.0,86114,17.69,2.9,2266599.67
